241	10.4659	10.5099
242	10.478	10.5183
243	10.49	10.5267
244	10.5021	10.535
245	10.5141	10.5434
246	10.526	10.5517
247	10.5379	10.5599
248	10.5498	10.5682
249	10.5617	10.5764
250	10.5735	10.5846
251	10.5853	10.5928
252	10.597	10.6009
253	10.6087	10.6091
254	10.6204	10.6172
255	10.6321	10.6252
256	10.6437	10.6333
257	10.6553	10.6413
258	10.6668	10.6493
259	10.6783	10.6573
260	10.6898	10.6653
261	10.7013	10.6732
262	10.7127	10.6811
263	10.724	10.689
264	10.7354	10.6968
265	10.7467	10.7047
266	10.758	10.7125
267	10.7692	10.7203
268	10.7804	10.7281
269	10.7916	10.7358
270	10.8028	10.7435
271	10.8139	10.7512
272	10.825	10.7589
273	10.836	10.7666
274	10.847	10.7742
275	10.858	10.7818
276	10.869	10.7894
277	10.8799	10.797
278	10.8908	10.8045
279	10.9016	10.8121
280	10.9124	10.8196
281	10.9232	10.8271
282	10.934	10.8346
283	10.9447	10.842
284	10.9554	10.8494
285	10.9661	10.8568
286	10.9767	10.8642
287	10.9873	10.8716
288	10.9979	10.879
289	11.0084	10.8863
290	11.0189	10.8936
291	11.0294	10.9009
292	11.0398	10.9082
293	11.0503	10.9154
294	11.0606	10.9227
295	11.071	10.9299
296	11.0813	10.9371
297	11.0916	10.9443
298	11.1019	10.9514
299	11.1121	10.9586
300	11.1223	10.9657
301	11.1325	10.9728
302	11.1426	10.9799
303	11.1528	10.987
304	11.1628	10.9941
305	11.1729	11.0011
306	11.1829	11.0081
307	11.1929	11.0151
308	11.2029	11.0221
309	11.2128	11.0291
310	11.2227	11.036
311	11.2326	11.043
312	11.2425	11.0499
313	11.2523	11.0568
314	11.2621	11.0637
315	11.2719	11.0706
316	11.2816	11.0774
317	11.2913	11.0843
318	11.301	11.0911
319	11.3107	11.0979
320	11.3203	11.1047
321	11.3299	11.1115
322	11.3395	11.1183
323	11.349	11.125
324	11.3585	11.1318
325	11.368	11.1385
326	11.3775	11.1452
327	11.3869	11.1519
328	11.3963	11.1585
329	11.4057	11.1652
330	11.415	11.1718
331	11.4244	11.1785
332	11.4337	11.1851
333	11.443	11.1917
334	11.4522	11.1983
335	11.4614	11.2049
336	11.4706	11.2114
337	11.4798	11.218
338	11.4889	11.2245
339	11.4981	11.231
340	11.5072	11.2375
341	11.5162	11.244
342	11.5253	11.2505
343	11.5343	11.257
344	11.5433	11.2634
345	11.5522	11.2698
346	11.5612	11.2763
347	11.5701	11.2827
348	11.579	11.2891
349	11.5879	11.2955
350	11.5967	11.3018
351	11.6055	11.3082
352	11.6143	11.3145
353	11.6231	11.3209
354	11.6318	11.3272
355	11.6405	11.3335
356	11.6492	11.3398
357	11.6579	11.3461
358	11.6666	11.3524
359	11.6752	11.3586
360	11.6838	11.3649
361	11.6924	11.3711
362	11.7009	11.3773
363	11.7094	11.3836
364	11.718	11.3898
365	11.7264	11.3959
366	11.7349	11.4021
367	11.7433	11.4083
368	11.7518	11.4144
369	11.7601	11.4206
370	11.7685	11.4267
371	11.7769	11.4328
372	11.7852	11.439
373	11.7935	11.445
374	11.8018	11.4511
375	11.81	11.4572
376	11.8183	11.4633
377	11.8265	11.4693
378	11.8347	11.4754
379	11.8428	11.4814
380	11.851	11.4874
381	11.8591	11.4934
382	11.8672	11.4995
383	11.8753	11.5054
384	11.8834	11.5114
385	11.8914	11.5174
386	11.8994	11.5234
387	11.9074	11.5293
388	11.9154	11.5352
389	11.9234	11.5412
390	11.9313	11.5471
391	11.9392	11.553
392	11.9471	11.5589
393	11.955	11.5648
394	11.9628	11.5707
395	11.9707	11.5765
396	11.9785	11.5824
397	11.9863	11.5883
398	11.994	11.5941
399	12.0018	11.5999
400	12.0095	11.6058
401	12.0172	11.6116
402	12.0249	11.6174
403	12.0326	11.6232
404	12.0403	11.629
405	12.0479	11.6347
406	12.0555	11.6405
407	12.0631	11.6463
408	12.0707	11.652
409	12.0782	11.6577
410	12.0858	11.6635
411	12.0933	11.6692
412	12.1008	11.6749
413	12.1083	11.6806
414	12.1157	11.6863
415	12.1232	11.692
416	12.1306	11.6977
417	12.138	11.7034
418	12.1454	11.709
419	12.1528	11.7147
420	12.1601	11.7203
421	12.1675	11.7259
422	12.1748	11.7316
423	12.1821	11.7372
424	12.1894	11.7428
425	12.1966	11.7484
426	12.2039	11.754
427	12.2111	11.7596
428	12.2183	11.7652
429	12.2255	11.7707
430	12.2327	11.7763
431	12.2398	11.7819
432	12.247	11.7874
433	12.2541	11.7929
434	12.2612	11.7985
435	12.2683	11.804
436	12.2753	11.8095
437	12.2824	11.815
438	12.2894	11.8205
439	12.2965	11.826
440	12.3035	11.8315
441	12.3104	11.837
442	12.3174	11.8425
443	12.3244	11.8479
444	12.3313	11.8534
445	12.3382	11.8588
446	12.3451	11.8643
447	12.352	11.8697
448	12.3589	11.8751
449	12.3657	11.8805
450	12.3726	11.886
451	12.3794	11.8914
452	12.3862	11.8968
453	12.393	11.9022
454	12.3998	11.9075
455	12.4065	11.9129
456	12.4133	11.9183
457	12.42	11.9236
458	12.4267	11.929
459	12.4334	11.9344
460	12.4401	11.9397
461	12.4468	11.945
